,index,acc,val_acc,loss,val_loss
58,58,0.7917134761810303,0.7219011187553406,0.4286556541919708,0.6236653327941895
59,59,0.7902681827545166,0.7174052596092224,0.42678365111351013,0.6118007302284241
60,60,0.7991006970405579,0.6345536112785339,0.426554799079895,0.6937028765678406
61,61,0.7966918349266052,0.7360308170318604,0.42075657844543457,0.5612806081771851
62,62,0.7950859069824219,0.529222846031189,0.4269651770591736,0.8227245211601257
63,63,0.7944435477256775,0.7739242315292358,0.42167407274246216,0.46917515993118286
64,64,0.7968524098396301,0.8978805541992188,0.42598915100097656,0.4100813865661621
65,65,0.7974947690963745,0.7662171125411987,0.4195345938205719,0.493175208568573
66,66,0.7944435477256775,0.702633261680603,0.423969030380249,0.6730150580406189
67,67,0.7963706254959106,0.7398843765258789,0.4222608208656311,0.5170760154724121
68,68,0.794925332069397,0.6653821468353271,0.42474791407585144,0.5583281517028809
69,69,0.7981371283531189,0.8381502628326416,0.422898530960083,0.40216079354286194
70,70,0.7987794876098633,0.7520873546600342,0.42159518599510193,0.4904366433620453
71,71,0.7965312600135803,0.7437379360198975,0.4240023195743561,0.46650275588035583
72,72,0.7995824813842773,0.8291586637496948,0.41598060727119446,0.39516785740852356
73,73,0.8003854155540466,0.6467565894126892,0.41720861196517944,0.7109017372131348
74,74,0.797012984752655,0.7186897993087769,0.42264875769615173,0.6065306663513184
75,75,0.794925332069397,0.6852922439575195,0.41921132802963257,0.5630596876144409
76,76,0.7974947690963745,0.7154784798622131,0.4242687225341797,0.5418127775192261
77,77,0.7962100505828857,0.7861271500587463,0.42367953062057495,0.4661378264427185
78,78,0.8042396306991577,0.7174052596092224,0.4171455502510071,0.48833131790161133
79,79,0.8047213554382324,0.7520873546600342,0.4171299934387207,0.5071503520011902
80,80,0.7992612719535828,0.7636480331420898,0.42079415917396545,0.49517524242401123
81,81,0.7994218468666077,0.712909460067749,0.4172859787940979,0.5726128816604614
82,82,0.797976553440094,0.7109826803207397,0.4172993302345276,0.610180139541626
83,83,0.8026337027549744,0.6788696050643921,0.4121333658695221,0.5838261246681213
84,84,0.794925332069397,0.7411689162254333,0.41735127568244934,0.5123419165611267
85,85,0.7987794876098633,0.768143892288208,0.42083728313446045,0.4775868356227875
86,86,0.7987794876098633,0.6769428253173828,0.4211999773979187,0.6659557223320007
